route_num_1,route_num_2,stop_id,pattern_id_1,pattern_id_2
4,3,2220,21004568,21003566
4,3,2220,21004568,21003575
4,36,2220,21004568,21036365
4,3,2220,21004567,21003564
13,4,2220,20013020,21004565
3,4,2220,21003570,21004565
187,182,61330,10187008,21182008
32,65,26368,10032119,11065079
31,65,26368,40031043,11065079
31,65,26368,40031044,11065079
31,65,26368,40031045,11065079
238,236,72190,20238061,11236059
22,22,22264,21022098,10022097
22,22,22264,21022098,10022096
164,164,58144,30164022,41164020
66,67,35295,11066121,20067067
107,148,46440,21107015,21148008
121,121,190,10121087,21121092
122,121,190,10122018,21121092
123,121,190,10123016,21121092
66,67,35295,11066114,20067065
66,67,35295,11066114,20067067
66,67,35295,11066113,20067065
66,67,35295,11066113,20067067
65,32,10005,20065082,21032115
65,32,10005,20065082,21032121
65,31,10005,20065082,31031046
107,148,46440,21107015,21148008
5,21,7430,20005154,21021377
5,21,7430,20005154,21021375
5,21,7430,20005154,21021374
2,13,3037,10002554,11013018
3,13,12880,10003559,11013018
4,13,12880,10004557,11013018
27,33,1370,10027026,11033052
27,33,1370,10027026,11033054
43,44,29380,11043048,11044011
43,44,29380,11043043,11044011
131,26,30635,10131101,11026060
131,26,30635,10131103,11026060
132,26,30635,10132383,11026060
179,601,675,10179035,20601006
67,66,35295,11067061,20066118
67,66,35295,11067062,20066118
67,66,35295,11067062,20066118
67,66,35295,11067061,20066118
84,84,12480,11084025,20084022
84,84,12480,11084024,20084023
31,65,26368,40031045,11065079
31,75,26368,40031045,11075155
31,75,26368,40031045,11075157
31,75,26368,40031045,11075163
31,65,26368,40031044,11065079
31,75,26368,40031044,11075155
31,75,26368,40031044,11075163
31,65,26368,40031043,11065079
31,75,26368,40031043,11075155
13,2,2220,20013020,21002559
13,3,2220,20013020,21003564
13,4,2220,20013020,21004565
44,43,10911,20044006,20043050
65,31,10005,20065082,31031046
75,31,9976,20075156,31031046
75,31,9976,20075166,31031046
158,601,675,10158015,20601006
179,601,675,10179035,20601006
21,5,30635,10021376,11005153
347,346,38962,20347011,11346009
348,346,38962,20348006,11346009
2,13,3037,10002554,11013018
122,121,190,10122018,21121092
44,43,10911,20044006,20043038
132,28,30635,10132383,11028533
14,1,3600,10014604,11001035
44,43,10911,20044006,20043033
14,1,3600,10014603,11001035
44,43,10911,20044009,20043030
66,67,35295,11066113,20067067
66,67,35295,11066114,20067067
66,67,35295,11066121,20067067
66,67,35295,11066113,20067065
66,67,35295,11066114,20067065
131,28,30635,10131103,11028519
132,28,30635,10132383,11028519
84,84,12480,11084024,20084023
84,84,12480,11084025,20084022
3,3,2220,21003567,21003575
4,3,2220,21004568,21003575
3,4,2220,21003570,21004565
3,3,2220,21003567,21003575
3,4,2220,21003567,21004585
4,3,2220,21004568,21003566
13,3,2220,20013020,21003564
2,3,2220,21002561,21003564
4,3,2220,21004567,21003564
4,3,2220,21004568,21003564
5,21,7430,20005154,21021374
5,21,7430,20005154,21021375
5,21,7430,20005154,21021377
164,183,57459,30164026,21183032
164,164,58144,30164022,41164020
164,168,58144,30164022,41168032
345,331,6940,11345014,41331023
7,49,3600,10007045,11049035
346,347,17010,20346008,11347009
4,3,12880,10004580,10003558
164,168,58144,30164022,41168032
187,182,61330,10187008,21182008
3,4,12880,10003557,10004560
3,4,12880,10003559,10004560
3,4,12880,10003573,10004560
65,32,10005,20065082,21032121
131,26,30635,10131103,11026060
131,28,30635,10131103,11028519
131,26,30635,10131101,11026060
182,187,60634,10182009,21187013
3,4,12880,10003559,10004559
4,13,12880,10004557,11013018
345,348,17010,20345005,11348005
345,348,17010,20345010,11348005
345,348,17010,20345015,11348005
65,32,10005,20065082,21032115
75,32,9976,20075156,21032115
75,32,9976,20075160,21032115
75,32,9976,20075166,21032115
7,49,3600,10007009,11049029
7,49,3600,10007009,11049032
7,49,3600,10007009,11049035
7,49,3600,10007009,11049042
7,49,3600,10007009,11049043
4,36,2220,21004568,21036365
12,12,1400,20012045,11012041
D,C,2220,20674026,21673015
164,183,57459,30164026,21183032
148,107,46468,10148007,10107014
121,121,190,10121087,21121092
99,99,2199,11099011,20099012
99,99,2199,11099011,20099013
14,1,3600,10014603,11001035
14,1,3600,10014604,11001035
22,22,22264,21022098,10022096
22,22,22264,21022098,10022097
166,169,57452,20166053,11169019
166,169,57452,20166054,11169019
348,345,38962,20348006,11345006
348,345,38962,20348006,11345014
348,346,38962,20348006,11346009
148,107,46468,10148007,10107014
47,47,1085,20047008,11047005
24,124,2220,20024102,21124052
12,12,1400,20012045,11012041
21,5,30635,10021376,11005153
132,26,30635,10132383,11026060
132,28,30635,10132383,11028519
132,28,30635,10132383,11028533
345,331,6940,11345014,41331023
348,345,38962,20348006,11345014
33,27,2220,20033057,21027027
169,166,57457,20169021,11166051
169,166,57457,20169021,11166052
99,99,2199,11099011,20099013
99,99,2199,11099011,20099012
348,345,38962,20348006,11345006
331,345,6940,30331020,20345015
7,49,3600,10007009,11049043
7,49,3600,10007009,11049042
169,166,57457,20169021,11166052
168,166,57457,30168034,11166052
169,166,57457,20169021,11166051
168,166,57457,30168034,11166051
47,47,1085,20047008,11047005
238,236,72190,20238061,11236059
331,345,5489,30331015,20345005
331,345,5489,30331014,20345005
7,49,3600,10007009,11049035
7,49,3600,10007045,11049035
7,49,3600,10007009,11049032
168,166,57457,30168034,11166051
168,166,57457,30168034,11166052
7,49,3600,10007009,11049029
