route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
100214,1851,27810219,"WOODINVILLE LAKE CITY","EXPRESS",0,3800408-1,11372045
100214,1851,27810218,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800407-1,20372047
100214,1851,27810217,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800381-1,20372048
100214,1851,27810216,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800413-1,20372047
100187,1851,27810215,"KENMORE ","EXPRESS",0,3800373-1,11312075
100214,1851,27810214,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800343-1,20372047
100214,1851,27810213,"WOODINVILLE LAKE CITY","EXPRESS",0,3800343-1,11372045
100214,1851,27810212,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800343-1,20372047
100214,1851,27810211,"WOODINVILLE LAKE CITY","EXPRESS",0,3800343-1,11372045
100214,1851,27810210,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800343-1,20372047
100214,1851,27810209,"WOODINVILLE LAKE CITY","EXPRESS",0,3800346-1,11372045
100214,1851,27810208,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800346-1,20372047
100214,1851,27810207,"WOODINVILLE LAKE CITY","EXPRESS",0,3800346-1,11372045
100214,1851,27810206,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800346-1,20372047
100214,1851,27810205,"WOODINVILLE LAKE CITY","EXPRESS",0,3800348-1,11372045
100214,1851,27810204,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800348-1,20372047
100214,1851,27810203,"WOODINVILLE LAKE CITY","EXPRESS",0,3800348-1,11372045
100214,1851,27810202,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800348-1,20372047
100214,1851,27810201,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800358-1,20372047
100214,1851,27810200,"WOODINVILLE LAKE CITY","EXPRESS",0,3800358-1,11372045
100214,1851,27810199,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800358-1,20372047
100214,1851,27810198,"WOODINVILLE LAKE CITY","EXPRESS",0,3800341-1,11372045
100214,1851,27810197,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800341-1,20372047
100214,1851,27810196,"WOODINVILLE LAKE CITY","EXPRESS",0,3800341-1,11372045
100214,1851,27810195,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800341-1,20372047
100214,1851,27810194,"WOODINVILLE LAKE CITY","EXPRESS",0,3800346-1,11372045
100214,1851,27810193,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800346-1,20372047
100214,1851,27810192,"WOODINVILLE LAKE CITY","EXPRESS",0,3800346-1,11372045
100214,1851,27810191,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800346-1,20372047
100214,1851,27810190,"WOODINVILLE LAKE CITY","EXPRESS",0,3800346-1,11372045
100214,1851,27810189,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800346-1,20372047
100214,1851,27810188,"WOODINVILLE LAKE CITY","EXPRESS",0,3800348-1,11372045
100214,1851,27810187,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800348-1,20372047
100214,1851,27810186,"WOODINVILLE LAKE CITY","EXPRESS",0,3800407-1,11372045
100214,1851,27810185,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800407-1,20372047
100214,1851,27810184,"WOODINVILLE LAKE CITY","EXPRESS",0,3800407-1,11372045
100214,1851,27810183,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800391-1,20372047
100214,1851,27810182,"WOODINVILLE LAKE CITY","EXPRESS",0,3800391-1,11372045
100214,1851,27810181,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800388-2,20372047
100215,1851,27810180,"UNIVERSITY DISTRICT JACKSON PARK","EXPRESS",1,3800372-2,20373012
100187,1851,27810179,"DOWNTOWN SEATTLE ","EXPRESS",1,3800385-1,20312047
100214,1851,27810178,"KENMORE P&R LAKE CITY","EXPRESS",0,3800445-1,11372046
100214,1851,27810177,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800380-1,20372047
100214,1851,27810176,"WOODINVILLE LAKE CITY","EXPRESS",0,3800341-1,11372045
100214,1851,27810175,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800341-1,20372047
100214,1851,27810174,"WOODINVILLE LAKE CITY","EXPRESS",0,3800341-1,11372045
100214,1851,27810173,"UNIVERSITY DISTRICT LAKE CITY","EXPRESS",1,3800341-1,20372048
100215,1851,27810172,"UNIVERSITY DISTRICT JACKSON PARK","EXPRESS",1,3800393-1,20373012
100187,1851,27810171,"DOWNTOWN SEATTLE ","EXPRESS",1,3800391-1,20312047
100203,1851,27810170,"NORTHGATE HALLER LAKE","LOCAL",1,3800305-1,20346005
100201,1851,27810045,"SHORELINE P&R BELLEVUE","LOCAL",0,3800402-1,11342031
100201,1851,27810044,"SHORELINE P&R BELLEVUE","LOCAL",0,3800305-2,11342031
100059,1851,27810043,"S RENTON P&R VIA I-405","LOCAL",0,3800305-2,21167335
100059,1851,27810042,"UNIVERSITY DISTRICT VIA SR-520","LOCAL",1,3800356-1,10167334
100201,1851,27810041,"RENTON BELLEVUE","LOCAL",1,3800356-1,20342033
100059,1851,27810040,"UNIVERSITY DISTRICT VIA SR-520","LOCAL",1,3800350-1,10167334
100201,1851,27810039,"RENTON BELLEVUE","LOCAL",1,3800350-1,20342033
100059,1851,27810038,"UNIVERSITY DISTRICT VIA SR-520","LOCAL",1,3800370-1,10167334
100201,1851,27810037,"RENTON BELLEVUE","LOCAL",1,3800370-1,20342033
100187,1851,27809864,"KENMORE ","EXPRESS",0,3800316-1,11312075
100187,1851,27809863,"BOTHELL ","EXPRESS",0,3800323-1,11312074
100187,1851,27809862,"BOTHELL ","EXPRESS",0,3800319-1,11312074
100187,1851,27809861,"BOTHELL ","EXPRESS",0,3800522-1,11312074
100187,1851,27809860,"KENMORE ","EXPRESS",0,3800335-1,11312075
100187,1851,27809859,"BOTHELL ","EXPRESS",0,3800322-1,11312074
100187,1851,27809858,"BOTHELL ","EXPRESS",0,3800320-1,11312074
